"","X4PSENRSTLV","X3TGPATOT","X1SES","S1FRNDCLG"
"390","2",3,1.5623,1
"392","2",3.5,2.0492,1
"394","2",3.5,0.1845,1
"395","0",2.5,-0.2917,1
"396","0",2.5,0.2592,1
"397","0",2.5,-0.5934,1
"399","1",3,0.0435,1
"400","2",4,0.7585,1
"401","1",3,-0.2606,1
"402","2",3,0.1058,1
"406","0",1,0.4772,1
"407","1",3,-0.1112,1
"409","1",3,-0.5673,1
"410","0",3,-0.3268,1
"411","2",3.5,0.4402,1
"412","1",2.5,-0.1505,2
"413","2",3.5,0.1714,1
"414","1",3,-0.128,1
"415","0",4,-0.1452,1
"416","1",4,-0.0832,1
"417","2",3.5,0.6846,1
"418","2",3,0.7572,1
"420","0",3,0.1969,1
"421","2",3.5,0.9351,1
"422","0",1.5,0.8071,1
"423","2",3.5,-1.0351,1
"424","2",4,0.4698,1
"425","1",3,-0.874,1
"426","2",3,1.4754,1
"427","2",4,0.6734,1
"428","2",3,1.5335,1
"431","2",3,1.1188,1
"432","2",2.5,0.1314,1
"433","0",3.5,-1.2064,1
"435","0",3,0.21,1
"436","1",3,0.4897,1
"437","2",4,0.6334,1
"439","2",3,0.3854,1
"440","2",3.5,0.197,1
"441","2",4,1.3734,1
"442","0",2.5,-0.5377,1
"443","2",3.5,1.2487,1
"445","1",3,0.3735,1
"446","0",3,-0.8455,1
"447","2",3.5,-0.4653,1
"448","2",4,0.2836,1
"449","2",3.5,-0.482,1
"450","2",3,1.8772,1
"451","2",3,-0.2,1
"452","2",3,1.1188,1
"453","2",3.5,0.1505,1
"456","2",4,1.2559,1
"457","2",3.5,-0.5465,1
"458","0",2.5,-0.4879,1
"459","2",3.5,0.466,1
"460","2",4,-0.2033,1
"461","2",4,0.5758,1
"463","2",3.5,1.8848,1
"464","2",3,1.0871,1
"465","0",2.5,-1.1291,1
"466","2",2.5,0.6768,1
"468","2",2.5,0.3377,1
"469","2",3.5,-0.2123,1
"470","0",2,-0.3254,1
"471","2",2.5,-0.6119,1
"472","1",2,-0.4542,1
"473","2",3.5,0.895,1
"474","2",3.5,0.7183,1
"475","0",2,0.0027,1
"476","0",2,-1.2626,1
"477","0",3,0.2353,1
"479","2",3.5,-0.1942,1
"480","2",3,0.3822,1
"481","2",3.5,-0.8649,1
"482","2",4,-0.3714,1
"483","0",3.5,0.7434,1
"484","2",3,1.2501,1
"485","2",4,-0.4813,1
"486","2",3.5,1.0042,1
"488","0",3.5,-0.3623,1
"489","1",3,0.5117,1
"492","2",3.5,1.3607,1
"493","1",3.5,-1.4492,1
"494","1",3.5,1.6527,1
"495","2",3.5,0.8304,1
"496","2",3.5,0.3707,1
"498","2",3,-0.5089,1
"499","2",3.5,1.2607,1
"501","2",3.5,0.7668,1
"502","2",2.5,0.2445,1
"503","2",2.5,-0.2082,1
"504","2",3.5,-1.2893,1
"505","2",3,0.4457,1
"506","2",3,-0.4584,1
"509","2",3.5,-0.2903,1
"510","2",3.5,0.6195,1
"511","1",2,0.6688,1
"512","2",3,1.2464,1
"513","2",3,0.7585,1
"514","1",2,-0.8103,1
"515","2",3,-0.9183,1
"516","2",3.5,0.7168,1
"517","1",3,-1.1056,1
"518","2",4,1.2324,1
"519","2",3.5,0.7678,1
"520","2",4,0.4193,1
"523","2",2.5,0.2302,1
"524","2",3.5,0.1079,1
"526","2",2.5,1.2968,1
"527","2",2,-0.056,1
"530","2",3,0.5584,1
"531","0",2.5,0.0733,1
"532","1",3,-1.0862,1
"533","2",4,1.4423,1
"534","0",3,-0.0552,1
"535","0",1.5,0.0275,1
"536","0",3.5,0.8313,1
"537","2",4,0.4073,1
"538","2",3.5,1.04,1
"541","1",3,0.3562,1
"542","2",3,-1.2098,1
"543","2",3.5,-0.1617,1
"544","2",3,-0.1431,1
"545","0",2.5,-0.0485,1
"546","2",2.5,0.3202,1
"547","0",3,-0.8794,1
"548","0",3.5,0.8891,1
"549","2",2.5,0.7837,1
"550","0",3.5,-0.6665,2
"551","2",3,-1.3274,1
"552","0",2.5,-0.0996,1
"553","2",4,0.914,1
"554","2",3,0.0514,1
"555","0",3,0.5367,1
"557","2",3,1.2533,1
"558","0",3.5,-0.4398,1
"559","0",2,-0.8192,1
"560","0",2,1.3938,2
"561","2",3.5,1.0269,1
"562","2",4,1.0319,1
"563","2",4,-0.2739,1
"564","1",3.5,0.2488,1
"565","2",2.5,0.7584,1
"567","2",3,0.4111,1
"568","1",3.5,1.4186,1
"569","2",3.5,1.2607,1
"570","2",3,0.5503,1
"571","2",3,-0.5576,1
"572","2",3,-0.1997,1
"573","2",3,1.7355,1
"574","2",2.5,-1.0635,1
"575","1",3,0.5117,1
"576","2",4,0.5718,1
"577","0",2.5,0.2529,1
"578","2",3.5,1.2203,1
"579","2",4,0.5768,1
"581","2",2.5,1.3586,1
"582","2",4,1.2626,1
"583","0",4,0.4671,1
"585","1",2,-0.2477,1
"586","2",4,0.7154,1
"587","2",4,-1.2803,2
"588","0",3,0.6725,1
"590","0",2,0.6914,1
"591","0",2,-0.8391,1
"592","2",2,0.1192,1
"593","2",3,-0.1602,1
"594","2",3.5,1.9889,1
"595","0",3.5,0.0269,1
"596","0",3,-0.4795,1
"597","2",3.5,0.4304,1
"598","0",2.5,-0.4653,1
"599","2",4,0.8303,1
"600","2",4,1.226,1
"601","0",3.5,0.1564,1
"602","1",3.5,1.0759,1
"603","1",2.5,-0.4134,1
"604","1",3,1.6149,1
"605","1",2.5,1.2151,1
"606","2",3,0.255,1
"607","2",4,0.5329,1
"610","1",3,0.692,1
"611","1",1.5,0.3887,1
"612","2",3.5,-0.43,1
"613","2",2,0.0504,1
"615","1",3,-0.371,1
"616","2",3,0.8157,1
"617","0",2.5,-0.4653,2
"618","1",2.5,-0.3118,1
"620","2",3.5,0.3887,1
"621","2",4,0.9456,1
"622","2",3,1.1009,1
"625","2",3.5,0.6593,1
"626","0",2.5,0.5746,1
"627","0",2.5,-0.0528,1
"628","2",3.5,0.4358,1
"629","0",1.5,-1.1103,1
"630","2",3.5,-0.4504,1
"631","2",3.5,0.323,1
"632","2",2.5,0.8057,1
"633","2",3.5,0.2054,1
"634","2",3,-0.7452,1
"635","2",2.5,-0.755,1
"637","0",3,-0.0426,1
"638","2",4,1.0785,1
"639","0",3,-0.6927,2
"640","0",3,-0.4293,1
"642","2",3,-0.8837,1
"645","0",3.5,-0.3554,1
"646","2",4,1.1579,1
"647","1",2,-0.4046,2
"648","2",3,-0.0754,1
"649","0",2.5,0.0153,1
"650","0",3,-1.4767,1
"651","2",3.5,1.2786,2
"652","2",4,1.878,1
"654","2",3,0.6318,1
"655","2",3,-0.1495,1
"656","2",4,1.8578,1
"657","0",3,0.6195,1
"658","2",3.5,0.3358,1
"659","1",3,-1.0941,1
"661","0",3,-1.0712,1
"662","2",3.5,0.9716,1
"664","2",3.5,-0.9468,1
"665","0",3.5,0.0484,1
"666","2",3,1.4347,1
"667","1",1,-1.0282,1
"668","2",3.5,0.5906,1
"669","2",3.5,-0.4834,1
"670","2",4,1.0925,1
"671","0",2.5,-0.8681,1
"672","2",4,0.9193,1
"673","1",3,-0.5628,1
"674","2",3.5,0.6296,1
"677","2",3.5,0.432,1
"678","2",3,1.6204,2
"680","2",3,1.1937,1
"681","2",3.5,1.5315,1
"682","0",3,-0.1452,1
"684","0",2.5,-0.9952,1
"685","0",3.5,1.063,1
"686","2",3,0.5588,1
"687","2",4,0.3423,1
"688","2",4,1.0292,1
"689","1",3,0.2899,1
"690","2",4,-0.5813,1
"691","1",3,-0.6755,1
"693","0",3,0.6284,1
"694","1",3,-0.771,1
"695","0",1,0.0027,1
"696","2",2.5,-0.3612,1
"697","2",3.5,1.0759,1
"698","2",3.5,1.1973,1
"699","2",3,0.6166,1
"700","2",3.5,1.031,1
"701","2",4,0.0955,1
"703","1",3.5,-0.2488,1
"704","2",3,0.7114,1
"705","0",2,-0.0996,1
"706","0",2.5,0.0219,1
"707","2",4,-0.1528,1
"708","2",3,-0.0174,1
"709","2",4,-0.1804,1
"710","2",3.5,1.0025,1
"711","2",3.5,-0.5512,1
"712","2",3,-1.0486,1
"713","1",2,0.1774,1
"715","2",2,0.0885,1
"716","2",3.5,-0.874,1
"717","1",2,0.3323,1
"718","2",3.5,0.3071,1
"719","2",3.5,-0.2751,1
"720","1",2.5,0.2563,1
"723","0",2,0.197,1
"724","0",3,-0.3465,1
"725","2",4,1.06,1
"726","2",3.5,0.093,1
"727","2",3,-0.2554,1
"729","2",4,0.2124,1
"730","0",2.5,0.282,1
"731","2",3,-0.8412,1
"732","2",2.5,1.3736,1
"733","2",4,0.3412,1
"734","2",4,0.1574,1
"735","1",2.5,1.0674,1
"736","2",3.5,-0.4542,1
"737","2",2.5,-0.7751,1
"740","0",3,-0.4924,1
"741","1",2.5,0.2033,1
"742","0",2,-0.3554,1
"743","2",4,-0.6359,1
"744","2",2.5,-0.5628,1
"746","1",2.5,0.9762,1
"747","2",3.5,0.7523,1
"748","2",2,0.3548,1
"751","2",3.5,1.3264,1
"752","1",3,0.0301,1
"753","2",3.5,0.8906,1
"754","2",3.5,1.2796,1
"755","2",3,-0.1755,1
"756","0",2,-0.5089,1
"757","2",3,0.928,1
"758","0",3,1.2248,1
"759","0",3,0.8854,1
"760","0",3,-0.442,1
"761","2",3.5,1.2037,1
"762","2",4,1.2984,1
"763","2",4,1.4591,1
"764","2",3,2.2775,1
"765","0",3,0.1463,1
"766","2",3,0.6597,1
"767","0",3,1.4056,1
"768","2",3.5,1.0152,1
"769","0",2,-0.0977,1
"770","0",2,-0.1942,1
"771","1",3.5,-0.4046,1
"772","1",1.5,1.0984,1
"773","2",3,0.6836,1
"774","1",2.5,0.6166,1
"775","2",2.5,-1.3081,1
"779","2",4,1.4192,1
"780","2",3.5,0.6195,1
"781","1",3,0.2809,1
"782","2",4,0.9402,1
"783","0",2.5,0.4529,1
"784","0",3.5,0.3008,1
"785","2",3.5,0.2669,1
"791","2",3.5,0.7743,1
"792","2",3.5,1.2556,1
"793","2",3.5,0.7817,1
"794","0",2.5,1.1788,1
"795","2",4,1.9383,1
"796","2",3.5,1.4372,1
"797","2",3.5,0.1764,1
"798","2",3.5,1.035,1
"799","2",3.5,0.6389,1
